Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2009;20.4;28.1;12.0;27;52;11;12.2;56.0;13.4;25.7;973.7;1011.8;3.2;8.5;6;1
2009;18.8;25.5;13.1;22;43;12;13.8;66.0;8.6;17.5;966.4;1004.4;3.9;10.2;7;2
2009;18.6;25.9;11.8;23;44;11;11.5;57.0;10.7;20.8;971.1;1009.3;3.7;18.2;7;3
2009;21.6;28.8;14.1;28;52;13;9.0;40.0;18.7;30.6;968.0;1005.8;4.3;3.7;7;1
2009;18.8;26.4;10.9;24;49;9;8.8;44.0;14.3;26.5;974.8;1013.2;4.2;3.7;8;2
2009;18.1;25.1;11.9;21;42;10;11.6;61.0;10.1;21.0;972.8;1011.1;4.1;18.2;8;3
2009;19.4;26.1;12.6;24;45;12;10.9;52.0;12.5;22.6;966.5;1004.4;4.7;3.4;8;1
2009;13.6;21.4;6.7;16;36;5;8.1;55.0;8.5;17.6;977.9;1017.1;2.9;3.1;9;2
2009;12.9;20.6;4.9;15;34;3;7.0;51.0;8.7;17.3;976.6;1015.9;4.0;4.3;9;3
2009;11.4;17.9;4.9;15;32;4;8.1;64.0;5.9;13.0;983.6;1023.4;3.8;10.1;9;1
2010;4.0;9.3;-0.8;3;13;-2;5.49;70.0;3.2;6.6;982.2;1022.8;4.3;4.6;4;2
2010;12.4;21.2;4.5;14;35;2;6.4;49.0;9.3;18.5;981.1;1020.6;5.1;7.5;4;3
2010;-1.9;2.4;-6.0;-3;6;-8;4.44;82.0;1.0;2.0;986.8;1028.6;5.3;4.6;4;1
2010;13.3;21.8;6.0;19;42;5;7.2;50.0;9.4;18.5;981.6;1020.9;4.4;7.9;5;2
2010;14.7;21.4;7.8;19;40;6;9.5;59.0;8.4;17.4;972.1;1010.8;4.8;19.8;5;3
2010;14.6;22.3;6.6;19;42;4;8.5;53.0;9.3;18.2;980.3;1019.3;4.0;0.0;5;1
