Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2007;10.8;16.6;5.0;16.0;34.0;4.0;6.5;51.0;7.3;12.4;958.9;1010.0;4.1;6.6;6;1
2007;20.3;25.3;16.3;23.0;37.0;15.0;16.8;72.0;7.4;14.8;956.8;1005.9;3.5;45.2;7;2
2007;17.3;22.3;12.9;21.0;38.0;12.0;12.9;67.0;7.7;14.3;958.8;1008.6;2.5;6.7;7;3
2007;21.1;26.4;15.7;26.0;45.0;15.0;16.5;68.0;9.0;17.5;953.9;1002.8;1.8;19.0;7;1
2007;15.0;20.4;9.8;19.0;36.0;8.0;10.4;61.0;7.3;12.9;965.2;1015.9;2.8;2.1;8;2
2007;21.4;28.2;15.2;24.0;43.0;13.0;10.2;43.0;16.9;28.5;967.0;1016.6;2.6;0.0;8;3
2007;19.2;24.2;14.1;23.0;40.0;13.0;14.3;66.0;8.8;16.4;961.3;1010.9;3.1;32.7;8;1
2007;13.0;19.8;6.9;15.0;32.0;5.0;6.5;48.0;9.6;17.4;961.7;1012.7;4.0;1.4;9;2
2007;9.0;14.2;4.7;10.0;23.0;3.0;8.0;69.0;3.9;7.5;974.1;1026.3;2.8;22.9;9;3
2007;17.1;24.1;10.6;20.0;39.0;9.0;8.9;49.0;11.6;21.5;964.1;1014.3;3.1;2.1;9;1
2008;5.8;12.1;-0.3;7.0;24.0;-3.0;4.94;54.0;5.0;10.1;968.6;1021.3;3.3;0.0;4;1
2008;7.8;14.2;1.8;10.0;26.0;0.0;5.4;53.0;6.0;11.4;961.7;1013.5;4.9;3.7;4;3
2008;4.3;10.5;-1.1;5.0;19.0;-5.0;3.56;47.0;6.5;10.7;967.5;1020.5;4.3;2.1;4;2
2008;9.1;15.4;3.6;12.0;30.0;0.0;5.8;51.0;6.8;12.4;962.9;1014.6;4.4;0.6;5;1
2008;19.1;25.7;12.4;24.0;47.0;10.0;9.4;46.0;14.4;24.5;960.6;1010.3;4.7;1.4;5;3
2008;15.7;21.6;9.7;20.0;42.0;6.0;8.1;48.0;10.4;18.7;965.6;1016.2;3.7;1.0;5;2
2008;13.9;19.9;8.7;17.0;35.0;6.0;8.5;54.0;8.1;14.9;957.9;1008.4;4.5;8.3;6;1
2008;20.9;27.0;15.3;24.0;43.0;14.0;12.4;54.0;13.1;23.1;955.6;1004.6;3.9;26.8;6;3
2008;20.6;26.8;14.2;25.0;47.0;11.0;8.9;39.0;16.4;26.6;962.2;1011.8;3.3;2.4;6;2
2008;19.7;24.6;15.2;23.0;38.0;12.0;13.5;63.0;10.4;17.4;957.9;1007.2;2.2;33.7;7;1
2008;23.5;29.8;17.5;26.0;46.0;15.0;14.3;53.0;15.8;28.5;959.5;1008.3;2.9;7.2;7;3
2008;23.0;28.5;17.3;26.0;44.0;15.0;15.6;59.0;13.6;23.0;958.2;1006.9;2.9;12.4;7;2
2008;19.4;25.9;13.1;23.0;42.0;11.0;10.6;50.0;13.0;22.1;957.4;1006.9;4.5;5.2;8;1
2008;18.7;25.0;12.6;22.0;42.0;11.0;10.6;52.0;11.8;21.1;961.2;1011.0;3.3;0.4;8;3
2008;21.3;27.2;15.1;26.0;47.0;12.0;10.9;45.0;15.3;25.0;965.5;1015.0;3.0;0.0;8;2
2008;14.1;19.9;8.6;16.0;32.0;7.0;8.5;53.0;8.7;16.3;963.1;1013.8;3.9;1.6;9;1
2008;4.7;9.0;1.2;6.0;20.0;-1.0;5.03;60.0;3.8;7.2;972.8;1025.8;2.2;0.0;9;3
2008;8.8;13.8;4.5;11.0;24.0;3.0;7.7;69.0;4.2;7.9;963.5;1015.3;4.5;5.2;9;2
2009;2.5;7.7;-1.1;2.0;11.0;-3.0;5.67;77.0;2.0;4.3;961.5;1014.4;6.7;4.7;4;1
2009;2.3;6.3;-0.9;1.0;8.0;-4.0;5.24;76.0;2.5;4.9;962.9;1015.9;5.9;10.0;4;2
2009;5.2;11.0;0.1;4.0;14.0;-3.0;5.22;62.0;4.3;8.6;961.7;1014.1;6.4;12.6;4;3
2009;11.2;17.8;3.9;13.0;31.0;0.0;4.8;41.0;9.7;17.3;964.7;1016.1;6.9;1.6;5;1
2009;14.4;20.1;9.3;15.0;31.0;5.0;9.3;60.0;7.8;14.5;961.0;1011.5;6.9;24.4;5;2
2009;11.6;17.8;5.6;14.0;28.0;3.0;7.4;58.0;7.6;14.6;964.0;1015.2;7.0;20.5;5;3
2009;20.4;25.9;14.7;24.0;42.0;12.0;10.9;49.0;14.7;24.1;962.6;1012.1;5.0;5.4;6;1
2009;19.6;25.9;13.7;25.0;44.0;12.0;9.7;43.0;14.5;23.2;967.5;1017.5;5.6;0.4;6;2
2009;15.9;21.8;10.6;21.0;39.0;9.0;9.5;54.0;9.3;15.8;963.7;1014.2;6.9;0.3;6;3
2009;19.2;25.1;13.6;24.0;46.0;11.0;8.4;41.0;15.2;23.6;956.0;1005.5;4.8;1.4;7;1
2009;17.4;22.5;13.0;21.0;39.0;12.0;14.2;74.0;6.5;13.1;955.6;1005.2;3.7;8.3;7;2
2009;17.8;24.0;12.3;22.0;41.0;10.0;11.1;56.0;10.1;17.8;959.9;1009.7;3.6;2.9;7;3
2009;16.4;22.1;11.9;19.0;35.0;10.0;11.9;67.0;7.4;15.0;954.2;1004.0;6.0;20.3;8;1
2009;16.8;23.9;10.2;20.0;40.0;9.0;10.2;57.0;10.0;19.9;963.3;1013.5;6.0;2.2;8;2
2009;18.1;23.5;13.5;20.0;35.0;11.0;11.4;59.0;10.2;17.6;960.5;1010.3;5.8;15.2;8;3
2009;12.0;17.1;7.4;14.0;30.0;5.0;9.0;65.0;5.6;11.3;972.7;1024.2;4.4;7.0;9;1
2009;13.3;19.4;8.0;15.0;34.0;5.0;7.0;48.0;9.2;17.1;965.9;1016.9;4.3;4.1;9;2
2009;12.2;17.3;7.5;14.0;28.0;5.0;7.3;53.0;7.4;12.4;963.3;1014.4;5.4;0.6;9;3
2010;-3.0;0.5;-6.4;-4.0;0.0;-8.0;4.08;82.0;0.95;1.7;975.2;1030.0;6.3;1.1;4;1
2010;3.0;7.1;-0.9;0.0;4.0;-4.0;5.23;72.0;2.9;5.4;969.3;1022.5;3.5;0.3;4;2
2010;11.2;18.4;4.6;11.0;24.0;1.0;5.7;47.0;8.8;16.3;968.1;1019.7;4.8;9.1;4;3
2010;15.5;21.0;9.8;18.0;37.0;6.0;6.9;39.0;11.8;19.3;968.9;1019.8;3.0;0.9;5;1
2010;13.9;20.5;7.6;19.0;40.0;5.0;5.2;35.0;11.6;18.6;970.7;1021.9;4.1;0.0;5;2
