Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2012;18.0;23.4;13.2;21;38;12;15.1;75.0;6.1;13.2;958.8;1004.3;2.9;19.5;6;2
2012;19.7;25.4;13.6;24;46;11;10.1;50.0;14.7;23.2;964.3;1010.0;2.4;16.0;6;1
2012;23.8;30.4;17.5;29;51;16;15.4;55.0;15.3;27.2;961.3;1006.0;2.6;16.1;7;3
2012;24.2;31.4;16.0;31;58;14;13.7;48.0;18.1;31.8;966.8;1011.8;1.7;0.0;7;2
2012;19.4;24.5;14.5;23;39;13;15.2;69.0;7.9;15.4;963.8;1009.4;2.8;24.5;7;1
2012;17.3;23.4;11.9;21;41;11;11.2;59.0;9.4;17.9;962.5;1008.4;4.1;3.3;8;3
2012;21.9;29.5;14.3;27;51;13;11.8;48.0;16.2;29.6;968.2;1013.7;2.8;1.9;8;2
2012;20.0;26.4;13.0;25;47;11;12.3;55.0;12.1;22.7;965.5;1011.1;2.4;14.2;8;1
2012;10.9;16.5;6.4;13;29;5;7.7;62.0;5.8;10.7;972.2;1019.7;2.8;6.7;9;3
2012;12.9;19.5;7.6;14;30;6;8.7;63.0;7.3;15.2;963.9;1010.6;5.9;9.3;9;2
2012;16.3;23.7;8.7;19;41;6;6.8;40.0;13.3;23.2;966.5;1012.9;3.8;0.0;9;1
2013;11.6;17.4;6.5;13;27;4;9.4;70.0;4.8;9.7;964.1;1011.0;7.4;11.4;4;3
2013;6.3;11.0;2.5;5;16;0;6.69;73.0;3.8;7.5;967.6;1015.7;4.0;22.1;4;2
2013;4.3;10.3;-1.5;-2;1;-6;5.08;63.0;4.6;9.1;978.8;1027.8;4.7;1.4;4;1
2013;12.2;18.4;5.5;17;38;4;8.0;59.0;7.1;14.0;968.8;1015.9;4.6;23.9;5;3
2013;9.2;15.2;2.9;14;32;2;6.9;61.0;5.4;10.6;965.6;1013.0;4.5;9.6;5;2
2013;10.5;16.8;5.0;13;31;3;7.0;59.0;6.7;12.6;968.3;1015.7;6.2;18.2;5;1
2013;20.3;26.0;13.3;26;50;12;9.6;42.0;15.1;23.9;964.4;1009.9;3.7;1.8;6;3
2013;16.3;23.0;8.7;23;47;7;9.3;53.0;10.3;18.8;967.2;1013.5;3.0;3.3;6;2
2013;15.3;21.5;8.3;22;45;7;8.4;50.0;10.2;17.4;963.6;1009.9;3.3;3.5;6;1
