Year;average_air_temperature;maximum_air_temperature;minimum_air_temperature;average_soil_surface_temperature;maximum_soil_surface_temperature;minimum_soil_surface_temperature;Partial_pressure_of_water_vapor_hPa;Average_relative_humidity;average_saturation_deficit_hPa;saturation_deficit_maximum_hPa;Atmospheric_pressure_at_the_station_level_hPa;Atmospheric_pressure_at_sea_level_hPa;Mean_wind_speed_m/s;Daily_precipitation_total_mm;Month_num;Decada_num
2011;2.5;7.6;-1.8;2;10;-3;5.71;78.0;2.2;4.9;969.9;1022.2;3.4;5.1;4;1
2011;9.8;17.3;3.2;13;34;1;6.2;54.0;6.8;12.4;966.3;1017.0;3.7;0.3;4;3
2011;13.8;20.5;6.3;19;42;3;5.2;35.0;11.4;18.1;965.8;1015.8;3.7;2.0;5;2
2011;11.5;18.7;3.5;16;40;0;4.8;38.0;9.8;16.5;970.6;1021.3;3.6;0.0;5;1
2011;14.8;22.2;8.1;18;39;6;8.9;58.0;9.1;18.0;959.9;1009.4;3.8;10.5;5;3
2011;19.6;27.1;12.0;25;49;10;11.0;52.0;13.2;24.4;956.1;1004.5;2.8;15.0;6;2
2011;18.3;25.8;11.9;21;43;10;12.8;64.0;9.3;18.6;955.7;1004.3;3.4;21.8;6;1
2011;18.2;24.3;13.2;21;38;12;14.0;70.0;7.6;16.1;957.2;1005.8;3.5;16.3;6;3
2011;18.2;23.6;13.3;22;39;12;14.3;70.0;7.6;14.4;957.6;1006.2;3.3;59.2;7;2
2011;20.0;26.7;13.1;25;47;11;12.1;54.0;12.3;22.8;964.4;1013.1;3.1;24.0;7;1
2011;19.7;26.1;13.7;23;41;12;15.0;67.0;8.9;16.7;961.5;1010.1;3.5;37.5;7;3
2011;19.5;26.1;12.4;23;43;11;13.2;62.0;10.8;20.9;964.1;1012.9;3.0;22.7;8;2
2011;16.0;22.1;10.9;19;38;10;12.4;69.0;6.4;13.8;959.3;1008.5;3.3;19.1;8;1
2011;13.3;19.9;7.2;16;34;5;10.1;67.0;6.1;12.6;962.9;1012.8;3.0;14.9;8;3
2011;16.6;24.7;9.6;19;38;8;7.6;42.0;12.3;21.9;964.7;1014.1;3.5;0.5;9;2
2011;17.6;25.5;8.8;21;42;6;8.1;43.0;13.1;23.8;966.6;1015.9;3.3;0.0;9;1
2011;8.7;15.1;2.6;10;25;1;7.1;66.0;4.8;9.8;966.7;1017.7;3.9;7.6;9;3
2012;13.5;22.7;4.1;16;39;2;7.0;50.0;9.9;20.0;968.1;1018.2;2.7;0.0;4;2
2012;5.6;12.7;0.2;7;22;-2;6.04;70.0;3.6;7.8;973.0;1024.9;3.8;6.0;4;1
2012;11.4;20.2;2.7;16;40;0;5.5;43.0;9.3;18.1;966.2;1016.6;3.4;3.1;4;3
2012;15.0;22.1;7.9;19;38;6;8.5;53.0;9.7;18.3;966.8;1016.6;3.7;5.1;5;2
2012;10.0;16.8;4.0;13;30;2;7.5;63.0;5.5;12.3;964.4;1015.0;4.4;31.3;5;1
2012;17.4;25.3;9.8;22;45;8;8.2;43.0;13.1;23.4;966.5;1015.8;3.6;3.5;5;3
2012;18.5;24.8;12.7;22;42;12;14.2;70.0;7.8;15.9;956.1;1004.6;2.9;21.3;6;2
2012;19.6;26.4;12.8;24;46;11;9.7;47.0;15.0;24.6;961.6;1010.3;3.3;3.9;6;1
2012;22.5;29.6;14.7;29;52;13;13.1;52.0;15.6;27.7;958.1;1006.1;2.7;2.5;6;3
2012;24.7;32.6;15.1;31;56;14;12.1;42.0;21.0;35.3;963.6;1011.5;2.5;0.0;7;2
